"task_name","forester_time","h2o_time","difference","relative_diff"
"kr-vs-kp",524,970,-446,0.54020618556701
"kr-vs-kp",373,600,-227,0.621666666666667
"kr-vs-kp",457,850,-393,0.537647058823529
"breast-w",555,1001,-446,0.554445554445554
"breast-w",408,709,-301,0.575458392101551
"breast-w",391,682,-291,0.573313782991202
"credit-approval",602,1257,-655,0.478918058870326
"credit-approval",1065,1874,-809,0.568303094983991
"credit-approval",748,1408,-660,0.53125
"credit-g",3004,5232,-2228,0.574159021406728
"credit-g",1410,2552,-1142,0.552507836990596
"credit-g",2945,4918,-1973,0.598820658804392
"diabetes",1299,2133,-834,0.609001406469761
"diabetes",2669,4215,-1546,0.633214709371293
"diabetes",969,1583,-614,0.612128869235629
"phoneme",3144,3939,-795,0.798172124904798
"phoneme",4377,5410,-1033,0.8090573012939
"phoneme",724,1737,-1013,0.416810592976396
"banknote-authentication",138,651,-513,0.211981566820276
"banknote-authentication",2066,6042,-3976,0.341939755047997
"banknote-authentication",251,871,-620,0.288174512055109
"blood-transfusion-service-center",54,421,-367,0.128266033254157
"blood-transfusion-service-center",246,692,-446,0.355491329479769
"blood-transfusion-service-center",167,554,-387,0.3014440433213
